node_label	count0	count1	count2	topo0	topo1	topo2
QS97	14	21	17	((CALI2,PEPA1),(CALI1,CALI3));	((CALI2,CALI1),(PEPA1,CALI3));	((CALI2,CALI3),(CALI1,PEPA1));
QS98	20	13	10	((CALI2,FAPU3),(CAIR3,CAHU3));	((CALI2,CAIR3),(FAPU3,CAHU3));	((CALI2,CAHU3),(CAIR3,FAPU3));
QS99	30	4	4	((CAOV2,CAPY1),(CAIR1,CAIR3));	((CAOV2,CAIR1),(CAPY1,CAIR3));	((CAOV2,CAIR3),(CAIR1,CAPY1));
QS100	18	14	12	((CAIR1,FDEN1),(CAIR3,CAIR2));	((CAIR1,CAIR3),(FDEN1,CAIR2));	((CAIR1,CAIR2),(CAIR3,FDEN1));
QS101	25	8	15	((CAIR2,NIRI1),(CAHE3,CATH1));	((CAIR2,CAHE3),(NIRI1,CATH1));	((CAIR2,CATH1),(CAHE3,NIRI1));
QS102	53	7	8	((CAPU3,FABR1),(CAHE2,CAHE1));	((CAPU3,CAHE2),(FABR1,CAHE1));	((CAPU3,CAHE1),(CAHE2,FABR1));
QS103	22	13	11	((CAHE2,PEPA3),(CAHE3,CAHE1));	((CAHE2,CAHE3),(PEPA3,CAHE1));	((CAHE2,CAHE1),(CAHE3,PEPA3));
QS104	10	17	10	((CAHE2,PREI1),(CAOV2,CAHU1));	((CAHE2,CAOV2),(PREI1,CAHU1));	((CAHE2,CAHU1),(CAOV2,PREI1));
QS105	18	15	10	((CATH3,PCOR1),(CALO1,CAOV2));	((CATH3,CALO1),(PCOR1,CAOV2));	((CATH3,CAOV2),(CALO1,PCOR1));
QS106	26	5	10	((CALO1,CPAR2),(CAOV1,CAOV3));	((CALO1,CAOV1),(CPAR2,CAOV3));	((CALO1,CAOV3),(CAOV1,CPAR2));
QS107	20	14	7	((CAOV1,CATH3),(CAOV2,CAOV3));	((CAOV1,CAOV2),(CATH3,CAOV3));	((CAOV1,CAOV3),(CAOV2,CATH3));
QS108	19	12	10	((CAOV2,FABR3),(CAPU1,CATH1));	((CAOV2,CAPU1),(FABR3,CATH1));	((CAOV2,CATH1),(CAPU1,FABR3));
QS109	63	3	1	((CAHU1,PREI1),(CAPU3,CAPU2));	((CAHU1,CAPU3),(PREI1,CAPU2));	((CAHU1,CAPU2),(CAPU3,PREI1));
QS110	9	8	17	((CAPU3,FAPU1),(CAPU1,CAPU2));	((CAPU3,CAPU1),(FAPU1,CAPU2));	((CAPU3,CAPU2),(CAPU1,FAPU1));
QS111	17	11	18	((CAPU1,PINF3),(CATH2,CAHU3));	((CAPU1,CATH2),(PINF3,CAHU3));	((CAPU1,CAHU3),(CATH2,PINF3));
QS112	38	9	7	((CAHU2,FDEN3),(CATH1,CATH2));	((CAHU2,CATH1),(FDEN3,CATH2));	((CAHU2,CATH2),(CATH1,FDEN3));
QS113	32	8	5	((CATH1,PBON2),(CATH2,CATH3));	((CATH1,CATH2),(PBON2,CATH3));	((CATH1,CATH3),(CATH2,PBON2));
QS114	21	7	9	((CATH1,BRCU2),(CAHU1,CAHU3));	((CATH1,CAHU1),(BRCU2,CAHU3));	((CATH1,CAHU3),(CAHU1,BRCU2));
QS115	15	11	18	((CAHU1,BOER2),(CAHU3,CAHU2));	((CAHU1,CAHU3),(BOER2,CAHU2));	((CAHU1,CAHU2),(CAHU3,BOER2));
