P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
FADE	PCOR	PAXI	7.559408334727029	2.042810365310288e-14	0.02550530843863204	995791302.78125	9529892.40625	7540949.78125	13138264.09375	372396.6875	24009883.65625	1542003.46875	333368.1875	1845510.71875	85964738.78125	1041141.8125	315402.8125	849536.9375	4074926.6875	85231.1875
FADE	PEEX	PAXI	6.5614247412218125	2.67841304690819e-11	0.009659878779617794	1042167760.5	5514989.4375	3293563.875	18031071.3125	231034.375	26567030.375	610112.5625	169608.875	780038.375	91030244.0625	535886.125	144306.125	359110.75	5052734.75	36839.5
FADE	PEIN	PAXI	6.608725931790744	1.9483858970659185e-11	0.02334546026611929	329795312.140625	3332998.984375	2488356.109375	4232739.046875	127030.71875	7898851.671875	522596.984375	119607.71875	611282.359375	28508461.046875	358027.46875	105208.46875	285800.46875	1334144.59375	27439.21875
FADE	PESE	PAXI	9.192040016794628	0.0	0.014675217229918727	343604543.28125	1815282.40625	1427833.34375	5970429.03125	73908.6875	8704309.96875	227199.40625	56856.9375	312737.84375	30096825.40625	181784.5625	60429.3125	137806.0625	1665547.5625	13030.1875
FADE	PINT	PAXI	5.249672838429363	7.633677090446156e-08	0.019482765352935014	974731085.828125	9729844.109375	8923812.359375	12562686.609375	423795.09375	23437713.109375	1670707.734375	351967.96875	1887130.109375	84068916.359375	1057729.59375	365497.84375	954763.71875	3964757.34375	89284.21875
FADE	PREI	PAXI	6.15468211433131	3.776361445773091e-10	0.022269800031015797	332369635.984375	3426093.015625	2481177.453125	4266970.265625	124181.78125	7987978.328125	552305.765625	117723.40625	636914.828125	28634234.015625	370146.15625	105762.65625	294759.28125	1345327.90625	27491.15625
FADE	PSCH	PAXI	8.273983637662768	0.0	0.030802017056291705	959125048.84375	10004112.40625	8564835.96875	12407774.09375	421487.1875	22992069.40625	1635177.28125	352690.5625	1977540.46875	82680363.59375	1097143.1875	362319.0625	958406.3125	3876507.3125	87273.3125
FAIM	FAFR	FAPE	9.297266667953453	0.0	0.5403424467336796	1201511346.0625	9726053.4375	7798504.3125	3048583.3125	172283.625	10883661.3125	2573512.0625	206837.375	3131973.8125	120681799.3125	1436558.875	175149.0	1162821.0	1500140.25	44381.25
FAIM	FAFR	FAPU	8.538075288299536	0.0	0.47657350983893676	1215261614.765625	9718872.421875	8010018.234375	3058663.359375	168747.46875	10718299.171875	2570710.921875	209381.71875	3014985.734375	122171784.484375	1424128.59375	176199.34375	1189125.59375	1499101.71875	41497.46875
FAFR	FAVI	FAIM	7.995399800721242	6.661338147750939e-16	0.6147710839931131	395868176.859375	3475246.328125	2270275.703125	895082.953125	46527.65625	2661421.765625	775422.015625	49655.78125	966384.015625	39840902.765625	473644.53125	41226.15625	354647.90625	405046.90625	12036.65625
FAIM	FAFR	FDEN	9.494226550854588	0.0	0.5986074486909326	1086320668.6875	9496988.4375	7195160.875	2613395.875	143796.625	9771261.25	2188562.375	160364.25	2822127.9375	107891370.6875	1362274.75	158101.75	1040185.125	1326890.75	34445.625
FAFR	FAIM	PEPA	6.782653193442236	5.933586955109149e-12	0.2531903600667513	1191254513.046875	12994689.328125	9667848.390625	3465771.328125	261887.65625	8356583.203125	2544163.890625	189540.03125	2856615.828125	120544267.265625	1561082.78125	166561.78125	1341850.65625	1328957.90625	46429.90625
FAPA	FAFR	FAVI	7.583149609168553	1.6986412276764895e-14	0.7999166570104255	403075161.703125	2508228.984375	2339000.421875	814780.296875	37237.84375	3074077.046875	705457.421875	36185.59375	1142521.234375	40873634.609375	427220.21875	45499.09375	345700.09375	437957.59375	10098.84375
FAPA	FAFR	PALT	5.3287791989022875	4.95432375124949e-08	0.9876834469058163	1102726564.40625	22761535.90625	6592577.96875	1658837.90625	250094.0625	8571015.84375	1452725.03125	318380.0625	17981235.34375	96192979.78125	4660284.8125	406707.4375	786013.5625	994486.3125	83713.5625
FAPA	FAFR	PAXI	6.092995805392363	5.561988647428961e-10	0.9865107022806394	1069569013.15625	23482825.21875	6508274.28125	1482532.53125	229137.5625	8551196.34375	1261294.21875	280832.0625	17441081.15625	92701217.53125	4624460.6875	399357.8125	744782.5625	984393.6875	77187.1875
FAPA	FAFR	PBON	4.813509876741907	7.424826939939067e-07	0.9889970507103971	1106684139.875	22427353.375	6840415.5625	1618071.5625	255655.625	8689089.4375	1433595.5625	301424.0	18015169.75	96651154.125	4642948.625	415687.375	798011.625	1003911.0	84813.5
FAPA	FAFR	PEEX	5.40100334802595	3.32099114874751e-08	0.9878094514446717	1066020128.75	21019975.0	6370020.625	1490344.0	223368.625	8378332.0	1292749.0	271779.25	17304022.625	92774293.25	4434582.875	396942.0	742929.375	978621.0	76499.625
FAPA	FAFR	PINF	4.672225061988621	1.4914460937376361e-06	0.9897295260552345	1100756761.734375	22805250.015625	6868838.390625	1491208.203125	239660.90625	8866457.015625	1319310.328125	271273.15625	17884505.203125	95700518.515625	4621349.53125	408956.15625	780833.78125	1018806.78125	77939.28125
