triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
FAPA1_CAIR1_CATH1,CATH1,0.0,3.3931698915798054,0.8274121912114442,0.17258780878855592,0.022295492833333333,0.022295492833333333,-61.542362832775126,-64.79599101520158,12
FAPA1_CAIR1_CAHE1,FAPA1,0.0,0.670820290672291,0.43719701996927385,0.562802980030726,0.02282414562125951,0.02282414562125951,-6899.923283417968,-6570.253441232902,1183
FAPA1_CAIR1_CAHE1,CAIR1,0.0,4.125714548511564,0.8632087985786863,0.13679120142131374,0.018179332117647058,0.018179332117647058,-96.4323195284367,-99.42076421170975,17
FAPA1_CAIR1_CAHE1,CAHE1,0.0,3.057654245783077,0.8389139242503011,0.1610860757496989,0.0157049804,0.0157049804,-87.13086654717091,-91.9052716189726,15
FAPA1_CASE1_CACA1,FAPA1,0.0,0.7322106916461437,0.43917217515731405,0.5608278248426859,0.02167755836003381,0.02167755836003381,-7001.301030992402,-6692.200501552627,1183
FAPA1_CASE1_CACA1,CASE1,0.0,6.657944500463739,0.889607894056782,0.11039210594321816,0.021491602999999998,0.021491602999999998,-50.22707143104921,-48.92444903162726,9
FAPA1_CASE1_CACA1,CACA1,0.0,5.476167092317234,0.9113114532531167,0.08868854674688349,0.016851255347826083,0.016851255347826083,-138.35942608188887,-138.69769146986363,23
FAPA1_CASE1_CATH1,FAPA1,0.0,0.7333258896306097,0.43289038751806236,0.5671096124819378,0.02164011965811496,0.02164011965811496,-7022.455396477172,-6696.290286363303,1183
FAPA1_CASE1_CATH1,CASE1,0.0,6.003316942453678,0.9081499629119003,0.09185003708809969,0.014429689591666668,0.014429689591666668,-74.16682804389303,-75.2383113761338,12
FAPA1_CASE1_CATH1,CATH1,0.0,11.392170219671739,0.9499861558832359,0.05001384411676404,0.012665309349999996,0.012665309349999996,-139.2267629048888,-131.75981053622542,20
FAPA1_CASE1_CAHE1,FAPA1,0.0,0.7188723064479338,0.44341019939513504,0.556589800604865,0.022528465562990735,0.022528465562990735,-6925.48781654356,-6623.444968939035,1187
FAPA1_CASE1_CAHE1,CASE1,0.0,2.2352762359617544,0.7587877676708117,0.24121223232918831,0.03355412355454545,0.03355412355454545,-47.22980991732376,-50.28320606558152,11
FAPA1_CASE1_CAHE1,CAHE1,0.0,5.006198981200143,0.8842788926309527,0.11572110736904732,0.0288213394117647,0.0288213394117647,-83.4711446595463,-83.75251994595563,17
FAPA1_CACA1_CATH1,FAPA1,0.0,0.7035697793261592,0.4325938576360426,0.5674061423639575,0.021675547256458157,0.021675547256458157,-7024.845724353213,-6692.420013903395,1183
FAPA1_CACA1_CATH1,CACA1,0.0,5.023286776319338,0.8364809229646445,0.16351907703535545,0.017625388304999996,0.017625388304999996,-116.75774394261177,-118.54086368793132,20
FAPA1_CACA1_CATH1,CATH1,0.0,7.421784204584699,0.9166056309510102,0.0833943690489896,0.019875269333333334,0.019875269333333334,-69.18720638818736,-67.55379096231304,12
FAPA1_CACA1_CAHE1,FAPA1,0.0,0.7138519499835183,0.4320788588120667,0.5679211411879334,0.021357089520245762,0.021357089520245762,-7040.7771633854145,-6710.363547194044,1180
FAPA1_CACA1_CAHE1,CACA1,0.0,3.649455602719964,0.8309295504060482,0.1690704495939518,0.020551759814285715,0.020551759814285715,-117.19405733764297,-118.11744321321643,21
FAPA1_CACA1_CAHE1,CAHE1,0.0,7.5493873748300375,0.9283350065850928,0.0716649934149071,0.025592851500000003,0.025592851500000003,-73.25305002813404,-71.99332440400461,14
FAPA1_CATH1_CAHE1,FAPA1,0.0,0.7062295893551461,0.42823948092927877,0.5717605190707212,0.022318662709094755,0.022318662709094755,-6964.5105576923615,-6617.638021278241,1182
FAPA1_CATH1_CAHE1,CATH1,0.0,3.1947462675370293,0.8120649542355448,0.18793504576445516,0.02368025147058823,0.02368025147058823,-88.6340867569478,-90.43265753852702,17
FAPA1_CATH1_CAHE1,CAHE1,0.0,6.9246429247506125,0.848138093651335,0.15186190634866512,0.027705110874999998,0.027705110874999998,-78.31423782033121,-79.98383926770042,16
PEPA1_CAPY1_CAOV1,PEPA1,0.0,0.7251862632977171,0.5145524047189086,0.48544759528109144,0.013373695133023255,0.013373695133023255,-7235.248646327985,-7119.120858939847,1075
PEPA1_CAPY1_CAOV1,CAPY1,0.0,5.8097936377721835,0.8999871153517658,0.1000128846482342,0.01640911088135593,0.01640911088135593,-369.03234117772666,-362.89285226580665,59
PEPA1_CAPY1_CAOV1,CAOV1,0.0,0.7442393577610927,0.6616237204934887,0.3383762795065112,0.008764787741975307,0.008764787741975307,-585.97466988811,-601.0016531919116,81
PEPA1_CAPY1_CAIR1,PEPA1,0.0,0.746568279659564,0.5117934775830754,0.48820652241692475,0.013311655840148698,0.013311655840148698,-7252.926338241212,-7135.755009228623,1076
PEPA1_CAPY1_CAIR1,CAPY1,0.0,0.27850151538691115,0.7261006373446582,0.2738993626553419,0.010619942214285713,0.010619942214285713,-383.1793508995884,-393.0170792019732,56
PEPA1_CAPY1_CAIR1,CAIR1,0.0,0.4556663716684538,0.7352745612519102,0.2647254387480898,0.0120307583373494,0.0120307583373494,-547.2799166764606,-563.3490858823656,83
PEPA1_CAPY1_CASE1,PEPA1,0.0,0.6955067781281663,0.5203773311083006,0.47962266889169947,0.013603648875232773,0.013603648875232773,-7186.383473690581,-7075.873048819419,1074
PEPA1_CAPY1_CASE1,CAPY1,0.0,18.06242506505668,0.7785638735989614,0.22143612640103857,0.016716914750508474,0.016716914750508474,-355.24297983922787,-360.69989967162024,59
PEPA1_CAPY1_CASE1,CASE1,0.0,0.7453671878993475,0.6801848394049043,0.3198151605950958,0.008943296818292683,0.008943296818292683,-589.1259269401316,-605.1568424821808,82
PEPA1_CAPY1_CACA1,PEPA1,0.0,0.7569518819716211,0.5000173680970056,0.49998263190299447,0.012782093856215213,0.012782093856215213,-7374.51220122468,-7236.551907895539,1078
PEPA1_CAPY1_CACA1,CAPY1,0.0,0.38294481925725643,0.6853837400362176,0.31461625996378245,0.009194196716981132,0.009194196716981132,-377.819268824717,-387.0830833592393,53
PEPA1_CAPY1_CACA1,CACA1,0.0,0.6795039536116996,0.6944088286210834,0.30559117137891645,0.009599796977380953,0.009599796977380953,-591.4237976181544,-608.0994224599616,84
PEPA1_CAPY1_CATH1,PEPA1,0.0,0.7677852492429524,0.5050640945871825,0.4949359054128175,0.01296453664591078,0.01296453664591078,-7318.208792020691,-7192.615908323809,1076
PEPA1_CAPY1_CATH1,CAPY1,0.0,0.27735956098310316,0.7358995078088089,0.26410049219119114,0.012911363096,0.012911363096,-354.4689642814738,-364.45389128556917,55
PEPA1_CAPY1_CATH1,CATH1,0.0,0.7070148935055028,0.6817121646678651,0.3182878353321349,0.00887650325,0.00887650325,-605.1617394968983,-621.2595762517642,84
PEPA1_CAPY1_CAHE1,PEPA1,0.0,0.7585975867419631,0.5089688310047803,0.4910311689952197,0.013140563816993463,0.013140563816993463,-7251.183396325887,-7130.2776616206775,1071
PEPA1_CAPY1_CAHE1,CAPY1,0.0,7.280126772840661,0.769324768890306,0.23067523110969412,0.015057013348852458,0.015057013348852458,-380.9052390965404,-385.7903160924449,61
PEPA1_CAPY1_CAHE1,CAHE1,0.0,0.4238342809899673,0.7277629282817166,0.2722370717182834,0.012665138807228917,0.012665138807228917,-539.8881638655836,-554.8188973152535,83
PEPA1_CAOV1_CAIR1,PEPA1,0.0,0.680412847483618,0.4480169228541355,0.5519830771458645,0.023210173144739495,0.023210173144739495,-6868.392408248366,-6569.250036566879,1190
PEPA1_CAOV1_CAIR1,CAOV1,0.0,3.3585137562762024,0.8249833162089796,0.17501668379102053,0.0052479790999999994,0.0052479790999999994,-87.90228762496594,-91.10017334319303,11
PEPA1_CAOV1_CAIR1,CAIR1,0.0,1.0719706730559377,0.6599811062228175,0.3400188937771825,0.051410977357142854,0.051410977357142854,-46.77971155384754,-52.462242408167505,14
PEPA1_CAOV1_CASE1,PEPA1,0.0,0.7193676565140614,0.4451142324568044,0.5548857675431956,0.02280375500824222,0.02280375500824222,-6903.673935931194,-6605.733022483846,1189
PEPA1_CAOV1_CASE1,CAOV1,0.0,11.72166191792611,0.937502537772235,0.062497462227765005,0.02739529533,0.02739529533,-89.37473620033516,-80.34369875345563,16
PEPA1_CAOV1_CASE1,CASE1,0.0,2.02336996664825,0.6873050849014877,0.3126949150985123,0.04435668289999999,0.04435668289999999,-36.64662330784159,-40.00725282944328,10
PEPA1_CAOV1_CACA1,PEPA1,0.0,0.7047140204887807,0.43831566103495023,0.5616843389650497,0.021724060476874998,0.021724060476874998,-7009.602210733254,-6692.788282681486,1184
